player_name,line,emp_prob_last_3,emp_prob_last_5,emp_prob_last_7,emp_prob_last_10
Bailey Williams,16.5,0.6666666666666666,0.8,0.8571428571428571,0.8
Bailey Williams,17.5,0.6666666666666666,0.6,0.7142857142857143,0.7
Bailey Williams,18.5,0.33333333333333337,0.2,0.42857142857142855,0.4
Bailey Williams,19.5,0.33333333333333337,0.2,0.42857142857142855,0.3
Bailey Williams,20.5,0.33333333333333337,0.2,0.42857142857142855,0.3
Bailey Williams,21.5,0.33333333333333337,0.2,0.42857142857142855,0.3
Bailey Williams,22.5,0.33333333333333337,0.2,0.42857142857142855,0.3
Bailey Williams,23.5,0.33333333333333337,0.2,0.42857142857142855,0.3
Bailey Williams,24.5,0.33333333333333337,0.2,0.42857142857142855,0.3
Bailey Williams,25.5,0.33333333333333337,0.2,0.2857142857142857,0.2
Bailey Williams,26.5,0,0,0.14285714285714288,0.1
Bailey Williams,27.5,0,0,0,0
Bailey Williams,28.5,0,0,0,0
Bailey Williams,29.5,0,0,0,0
Bailey Williams,30.5,0,0,0,0
Bailey Williams,31.5,0,0,0,0
Bailey Williams,32.5,0,0,0,0
Bailey Williams,33.5,0,0,0,0
Bailey Williams,34.5,0,0,0,0
Bayley Fritsch,9.5,1,0.8,0.8571428571428571,0.8
Bayley Fritsch,14,0.6666666666666666,0.4,0.5714285714285714,0.5
Bayley Fritsch,14.5,0.6666666666666666,0.4,0.5714285714285714,0.5
Bayley Fritsch,19.5,0.6666666666666666,0.4,0.42857142857142855,0.29999999999999993
Bayley Fritsch,24.5,0,0,0,0
Ben Ainsworth,9.5,1,1,0.8571428571428571,0.8
Ben Ainsworth,14.5,0.33333333333333337,0.2,0.2857142857142857,0.3
Ben Ainsworth,19.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Ben Ainsworth,24.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Ben Keays,9.5,1,1,1,0.9
Ben Keays,14.5,1,1,1,0.8
Ben Keays,19.5,0.33333333333333337,0.4,0.42857142857142855,0.3
Ben Keays,24.5,0,0,0,0
Ben Keays,29.5,0,0,0,0
Ben King,9.5,0,0,0,0
Ben King,14.5,0,0,0,0
Ben Long,9.5,0.6666666666666666,0.6,0.5714285714285714,0.7
Ben Long,14.5,0,0,0,0
Ben Long,19.5,0,0,0,0
Ben Miller,9.5,1,1,1,1
Ben Miller,14.5,0,0,0,0
Ben Miller,19.5,0,0,0,0
Blake Acres,9.5,1,1,0.8571428571428571,0.9
Blake Acres,14.5,0.6666666666666666,0.8,0.7142857142857143,0.7
Blake Acres,19.5,0.6666666666666666,0.6,0.5714285714285714,0.39999999999999997
Blake Acres,24.5,0,0,0.14285714285714288,0.1
Blake Acres,29.5,0,0,0,0
Blake Hardwick,9.5,1,1,1,0.9
Blake Hardwick,14.5,0.6666666666666666,0.4,0.5714285714285714,0.5
Blake Hardwick,19.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Blake Hardwick,24.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Blake Hardwick,29.5,0,0,0,0
Blake Howes,9.5,0.6666666666666666,0.8,0.7142857142857143,0.7
Blake Howes,14.5,0.6666666666666666,0.4,0.2857142857142857,0.3
Blake Howes,19.5,0,0,0,0.10000000000000002
Blake Howes,24.5,0,0,0,0
Blake Howes,29.5,0,0,0,0
Blake Howes,34.5,0,0,0,0
Blake Howes,39.5,0,0,0,0
Bodhi Uwland,9.5,1,1,1,1
