match,round,home_team,away_team,start_time,venue
Adelaide Crows v Gold Coast Suns,Round 18,Adelaide Crows,Gold Coast Suns,2026-07-11T10:10:00Z,Adelaide Oval
Western Bulldogs v West Coast Eagles,Round 18,Western Bulldogs,West Coast Eagles,2026-07-12T03:10:00Z,Marvel Stadium
Melbourne Demons v Richmond Tigers,Round 18,Melbourne Demons,Richmond Tigers,2026-07-12T05:15:00Z,MCG
Brisbane Lions v Essendon Bombers,Round 18,Brisbane Lions,Essendon Bombers,2026-07-12T06:40:00Z,Gabba
Geelong Cats v St Kilda Saints,Round 19,Geelong Cats,St Kilda Saints,2026-07-16T09:30:00Z,GMHBA Stadium
Sydney Swans v Adelaide Crows,Round 19,Sydney Swans,Adelaide Crows,2026-07-17T09:40:00Z,SCG
Port Adelaide Power v Fremantle Dockers,Round 19,Port Adelaide Power,Fremantle Dockers,2026-07-18T03:15:00Z,Adelaide Oval
North Melbourne Kangaroos v Melbourne Demons,Round 19,North Melbourne Kangaroos,Melbourne Demons,2026-07-18T06:15:00Z,Marvel Stadium
Collingwood Magpies v Carlton,Round 19,Collingwood Magpies,Carlton,2026-07-18T09:35:00Z,MCG
West Coast Eagles v Brisbane Lions,Round 19,West Coast Eagles,Brisbane Lions,2026-07-18T10:10:00Z,Optus Stadium
Richmond Tigers v Hawthorn Hawks,Round 19,Richmond Tigers,Hawthorn Hawks,2026-07-19T03:10:00Z,MCG
Gold Coast Suns v Western Bulldogs,Round 19,Gold Coast Suns,Western Bulldogs,2026-07-19T05:15:00Z,People First Stadium
Essendon Bombers v GWS Giants,Round 19,Essendon Bombers,GWS Giants,2026-07-19T06:40:00Z,Marvel Stadium
Adelaide Crows v Collingwood Magpies,Round 20,Adelaide Crows,Collingwood Magpies,2026-07-23T09:30:00Z,Adelaide Oval
Melbourne Demons v Geelong Cats,Round 20,Melbourne Demons,Geelong Cats,2026-07-24T09:40:00Z,MCG
Fremantle Dockers v West Coast Eagles,Round 20,Fremantle Dockers,West Coast Eagles,2026-07-24T10:10:00Z,Optus Stadium
Carlton v Gold Coast Suns,Round 20,Carlton,Gold Coast Suns,2026-07-25T03:05:00Z,Marvel Stadium
Hawthorn Hawks v Essendon Bombers,Round 20,Hawthorn Hawks,Essendon Bombers,2026-07-25T06:15:00Z,MCG
GWS Giants v Sydney Swans,Round 20,GWS Giants,Sydney Swans,2026-07-25T06:35:00Z,ENGIE Stadium
Western Bulldogs v Richmond Tigers,Round 20,Western Bulldogs,Richmond Tigers,2026-07-25T09:40:00Z,Marvel Stadium
Brisbane Lions v Port Adelaide Power,Round 20,Brisbane Lions,Port Adelaide Power,2026-07-26T03:10:00Z,Gabba
North Melbourne Kangaroos v St Kilda Saints,Round 20,North Melbourne Kangaroos,St Kilda Saints,2026-07-26T05:15:00Z,Marvel Stadium
Collingwood Magpies v Geelong Cats,Round 21,Collingwood Magpies,Geelong Cats,2026-07-30T09:30:00Z,MCG
Fremantle Dockers v Western Bulldogs,Round 21,Fremantle Dockers,Western Bulldogs,2026-07-31T10:10:00Z,Optus Stadium
St Kilda Saints v Sydney Swans,Round 21,St Kilda Saints,Sydney Swans,2026-08-01T03:05:00Z,Marvel Stadium
Hawthorn Hawks v North Melbourne Kangaroos,Round 21,Hawthorn Hawks,North Melbourne Kangaroos,2026-08-01T03:35:00Z,UTAS Stadium
Port Adelaide Power v GWS Giants,Round 21,Port Adelaide Power,GWS Giants,2026-08-01T08:35:00Z,Adelaide Oval
Carlton v Brisbane Lions,Round 21,Carlton,Brisbane Lions,2026-08-01T09:40:00Z,Marvel Stadium
Richmond Tigers v West Coast Eagles,Round 21,Richmond Tigers,West Coast Eagles,2026-08-02T03:10:00Z,MCG
Gold Coast Suns v Melbourne Demons,Round 21,Gold Coast Suns,Melbourne Demons,2026-08-02T05:15:00Z,People First Stadium
Essendon Bombers v Adelaide Crows,Round 21,Essendon Bombers,Adelaide Crows,2026-08-02T06:40:00Z,Marvel Stadium
Western Bulldogs v North Melbourne Kangaroos,Round 22,Western Bulldogs,North Melbourne Kangaroos,2026-08-06T09:30:00Z,Marvel Stadium
Brisbane Lions v Hawthorn Hawks,Round 22,Brisbane Lions,Hawthorn Hawks,2026-08-07T09:40:00Z,Gabba
Melbourne Demons v Fremantle Dockers,Round 22,Melbourne Demons,Fremantle Dockers,2026-08-08T03:15:00Z,MCG
Sydney Swans v Port Adelaide Power,Round 22,Sydney Swans,Port Adelaide Power,2026-08-08T06:15:00Z,SCG
Geelong Cats v Essendon Bombers,Round 22,Geelong Cats,Essendon Bombers,2026-08-08T06:35:00Z,GMHBA Stadium
Adelaide Crows v Richmond Tigers,Round 22,Adelaide Crows,Richmond Tigers,2026-08-08T09:35:00Z,Adelaide Oval
GWS Giants v Gold Coast Suns,Round 22,GWS Giants,Gold Coast Suns,2026-08-09T03:10:00Z,Corroboree Group Oval Manuka
