player_name,stat,median_diff,games_win,games_loss
Harvey Gallagher,disposals,1,3,5
Harvey Harrison,disposals,1,5,2
Hayden McLean,disposals,1,16,11
Hussien El Achkar,disposals,1,1,6
Jack Bowes,disposals,1,19,11
Jack Dalton,disposals,1,3,1
Jack Higgins,disposals,1,16,20
Jacob Konstanty,disposals,1,10,22
Jacob Newton,disposals,1,2,3
Jake Bowey,disposals,1,14,20
Jake Lever,disposals,1,14,12
Jake Soligo,disposals,1,29,13
Jamie Elliott,disposals,1,22,13
Jaspa Fletcher,disposals,1,32,13
Jasper Alger,disposals,1,1,11
Jed Walter,disposals,1,12,18
Jedd Busslinger,disposals,1,10,4
Jimmy Webster,disposals,1,5,10
Joel Hamling,disposals,1,11,9
Josh Battle,disposals,1,29,13
Josh Rachele,disposals,1,22,11
Jy Farrar,disposals,1,7,3
Kane McAuliffe,disposals,1,2,12
Lachie Weller,disposals,1,20,10
Lachlan Bramble,disposals,1,26,16
Lachlan Cowan,disposals,1,13,19
Lance Collard,disposals,1,6,6
Latrelle Pickett,disposals,1,11,5
Lewis Young,disposals,1,7,15
Luke Breust,disposals,1,5,3
Luke Jackson,disposals,1,31,9
Luke Pedlar,disposals,1,12,7
Malakai Champion,disposals,1,2,8
Mark O'Connor,disposals,1,28,13
Max Gruzewski,disposals,1,11,7
Mitch Duncan,disposals,1,7,2
Mitch Owens,disposals,1,15,20
Nathan Broad,disposals,1,7,33
Nick Bryan,disposals,1,3,11
Noah Answerth,disposals,1,20,7
Oliver Florent,disposals,1,16,19
Oscar Allen,disposals,1,5,15
Oscar McInerney,disposals,1,11,2
Peter Ladhams,disposals,1,6,6
Rhys Stanley,disposals,1,16,4
Riley Thilthorpe,disposals,1,27,14
Robert Hansen Jr,disposals,1,3,9
Ryley Sanders,disposals,1,23,15
Sam Powell-Pepper,disposals,1,7,9
Sandy Brock,disposals,1,1,18
Scott Pendlebury,disposals,1,23,13
Steely Green,disposals,1,5,31
Taylor Walker,disposals,1,24,12
Tim Membrey,disposals,1,26,12
Toby Murray,disposals,1,9,3
Tom Brown,disposals,1,6,31
Tom Liberatore,disposals,1,20,11
Tom Powell,disposals,1,9,21
Tylar Young,disposals,1,6,20
Tyson Stengle,disposals,1,18,6
Wil Powell,disposals,1,23,19
Zak Butters,disposals,1,14,23
Andrew McGrath,disposals,0.5,8,31
Angus Clarke,disposals,0.5,2,15
Ben Hobbs,disposals,0.5,6,12
Braeden Campbell,disposals,0.5,13,12
Brayden Fiorini,disposals,0.5,11,10
Caleb Daniel,disposals,0.5,13,28
Callum Wilkie,disposals,0.5,18,24
Charlie Cameron,disposals,0.5,30,13
Charlie Comben,disposals,0.5,13,24
Darcy Byrne-Jones,disposals,0.5,14,27
Elijah Tsatas,disposals,0.5,2,9
Errol Gulden,disposals,0.5,11,6
Harry Morrison,disposals,0.5,19,10
Jai Newcombe,disposals,0.5,30,14
James O'Donnell,disposals,0.5,25,12
James Rowbottom,disposals,0.5,26,16
Jesse Hogan,disposals,0.5,12,13
Jhye Clark,disposals,0.5,9,6
Joel Amartey,disposals,0.5,17,6
Jonty Faull,disposals,0.5,6,20
Jordan Clark,disposals,0.5,33,10
Josaia Delana,disposals,0.5,4,4
Josh Weddle,disposals,0.5,23,10
Lachie Fogarty,disposals,0.5,8,14
Logan McDonald,disposals,0.5,13,4
Nat Fyfe,disposals,0.5,6,2
Ned Moyle,disposals,0.5,5,10
Ned Reeves,disposals,0.5,10,4
Oliver Dempsey,disposals,0.5,30,15
Patrick Retschko,disposals,0.5,2,12
Rhyan Mansell,disposals,0.5,4,22
Rory Laird,disposals,0.5,26,11
Rory Lobb,disposals,0.5,25,14
Ryan Byrnes,disposals,0.5,12,16
Ryan Lester,disposals,0.5,30,10
Sam Clohesy,disposals,0.5,14,9
Touk Miller,disposals,0.5,22,20
Tristan Xerri,disposals,0.5,10,24
Will Lewis,disposals,0.5,6,6
Zac Fisher,disposals,0.5,2,6
Aaron Cadman,disposals,0,23,15
Alix Tauru,disposals,0,3,5
Bailey J. Williams,disposals,0,3,28
Bailey Laurie,disposals,0,8,5
Callum Mills,disposals,0,21,9
Cameron Nairn,disposals,0,3,1
Cameron Zurhaar,disposals,0,13,27
Cody Curtin,disposals,0,2,2
Cooper Trembath,disposals,0,9,13
Dan Houston,disposals,0,26,13
Darcy Fogarty,disposals,0,26,10
Dayne Zorko,disposals,0,27,9
Dion Prestia,disposals,0,3,23
Ed Richards,disposals,0,25,16
Elliot Yeo,disposals,0,4,13
Harry Armstrong,disposals,0,1,10
Harry Perryman,disposals,0,27,12
Isaac Kako,disposals,0,8,26
Jack Buller,disposals,0,11,7
Jack Whitlock,disposals,0,7,16
Jacob Weitering,disposals,0,12,21
Jai Culley,disposals,0,6,5
Jake Kolodjashnij,disposals,0,6,5
James Borlase,disposals,0,11,5
Jesse Motlop,disposals,0,9,14
Joe Berry,disposals,0,10,21
Josh Dolan,disposals,0,10,8
Josh Lindsay,disposals,0,3,9
Josh Worrell,disposals,0,29,14
Karl Worner,disposals,0,33,9
Lachie Jones,disposals,0,12,23
Lachlan McNeil,disposals,0,20,11
Levi Ashcroft,disposals,0,32,13
Liam Duggan,disposals,0,5,35
Liam Henry,disposals,0,5,9
Lincoln McCarthy,disposals,0,6,2
Lloyd Meek,disposals,0,30,13
Logan Evans,disposals,0,8,21
Logan Morris,disposals,0,31,12
Luke Davies-Uniacke,disposals,0,13,27
Luke Ryan,disposals,0,33,9
Marc Pittonet,disposals,0,10,13
Mark Blicavs,disposals,0,25,15
Mason Cox,disposals,0,18,4
Mason Redman,disposals,0,7,24
Matt Flynn,disposals,0,3,19
Matt Guelfi,disposals,0,1,14
Max Ramsden,disposals,0,4,2
Milan Murdock,disposals,0,3,13
Mitchell Hinge,disposals,0,18,7
Nic Newman,disposals,0,8,8
Nick Coffield,disposals,0,10,5
Noah Mraz,disposals,0,3,1
Oisin Mullin,disposals,0,29,15
Oliver Henry,disposals,0,19,14
Paddy Cross,disposals,0,5,5
Reuben Ginbey,disposals,0,5,31
Rowan Marshall,disposals,0,17,23
Ryan Angwin,disposals,0,13,13
Sam Collins,disposals,0,21,20
Sam Draper,disposals,0,16,7
Sam Taylor,disposals,0,15,13
Sid Draper,disposals,0,7,3
Taj Hotton,disposals,0,2,11
Talor Byrne,disposals,0,7,7
Taylor Duryea,disposals,0,3,2
Toby Bedford,disposals,0,22,16
Tom De Koning,disposals,0,16,22
Beau McCreery,disposals,-0.5,25,12
Buku Khamis,disposals,-0.5,20,13
Cooper Hynes,disposals,-0.5,17,8
Corey Durdin,disposals,-0.5,14,21
Dan Butler,disposals,-0.5,6,8
Darcy Gardiner,disposals,-0.5,18,8
Harrison Oliver,disposals,-0.5,3,2
Isaac Quaynor,disposals,-0.5,26,15
Jack Lukosius,disposals,-0.5,6,9
Jack Payne,disposals,-0.5,8,4
Jack Williams,disposals,-0.5,2,19
Jarrod Berry,disposals,-0.5,27,10
Jordan Dawson,disposals,-0.5,28,13
Jy Simpkin,disposals,-0.5,13,26
Lachie Neale,disposals,-0.5,28,12
Laitham Vandermeer,disposals,-0.5,12,8
Liam Jones,disposals,-0.5,2,3
Liam Stocker,disposals,-0.5,14,17
Mabior Chol,disposals,-0.5,26,12
Mark Keane,disposals,-0.5,22,8
Matthew Johnson,disposals,-0.5,28,8
Max Hall,disposals,-0.5,18,24
Michael Sellwood,disposals,-0.5,12,7
Oliver Hannaford,disposals,-0.5,3,2
Oliver Wiltshire,disposals,-0.5,7,6
Saad El-Hawli,disposals,-0.5,4,13
Tom Barrass,disposals,-0.5,27,12
Trent Rivers,disposals,-0.5,14,21
Tyler Sonsie,disposals,-0.5,5,24
Will McLachlan,disposals,-0.5,5,2
William Hayes,disposals,-0.5,5,2
Zach Guthrie,disposals,-0.5,30,15
Adam Saad,disposals,-1,9,15
Alex Neal-Bullen,disposals,-1,30,13
Ashton Moir,disposals,-1,3,8
Bradley Hill,disposals,-1,18,23
Brayden Maynard,disposals,-1,21,15
Bruce Reville,disposals,-1,23,7
Cam Rayner,disposals,-1,32,13
Campbell Chesser,disposals,-1,1,6
Conor McKenna,disposals,-1,13,5
Darcy Tucker,disposals,-1,1,6
Deven Robertson,disposals,-1,4,4
Finnbar Maley,disposals,-1,3,9
George Wardlaw,disposals,-1,11,14
Harrison Jones,disposals,-1,4,7
Harrison Petty,disposals,-1,15,19
Harvey Johnston,disposals,-1,2,5
Isaac Keeler,disposals,-1,4,9
Jack Ginnivan,disposals,-1,30,13
Jack Henry,disposals,-1,23,13
Jacob Hopper,disposals,-1,7,28
Jacob Wehr,disposals,-1,13,15
James Leake,disposals,-1,5,3
James Worpel,disposals,-1,18,11
Jeremy Finlayson,disposals,-1,2,6
Kieren Briggs,disposals,-1,19,15
Lachie Ash,disposals,-1,24,19
Lachie Whitfield,disposals,-1,21,19
Lachlan Sullivan,disposals,-1,12,3
Lachy Dovaston,disposals,-1,3,3
Liam Baker,disposals,-1,5,35
Luke Parker,disposals,-1,13,27
Luke Trainor,disposals,-1,6,24
Mitch McGovern,disposals,-1,15,21
Nick Haynes,disposals,-1,17,21
Oscar Steene,disposals,-1,3,4
Oskar Baker,disposals,-1,10,8
Paul Curtis,disposals,-1,10,25
Ryan Burton,disposals,-1,3,5
Sam Darcy,disposals,-1,15,8
Sam De Koning,disposals,-1,28,12
Sam Wicks,disposals,-1,24,12
Sean Darcy,disposals,-1,16,8
Thomas Sims,disposals,-1,3,8
Thomson Dow,disposals,-1,3,8
Tom Green,disposals,-1,15,8
Tom Stewart,disposals,-1,26,11
Travis Boak,disposals,-1,7,9
Wil Dawson,disposals,-1,2,9
Will Graham,disposals,-1,13,7
Will White,disposals,-1,7,7
Willem Drew,disposals,-1,15,27
Willem Duursma,disposals,-1,4,14
Zeke Uwland,disposals,-1,5,11
Aliir Aliir,disposals,-1.5,15,26
Alixzander Tauru,disposals,-1.5,4,6
Anthony Caminiti,disposals,-1.5,17,22
Corey Warner,disposals,-1.5,10,9
Darcy Cameron,disposals,-1.5,28,14
David Swallow,disposals,-1.5,4,5
Hugo Hall-Kahan,disposals,-1.5,5,2
Isaac Cumming,disposals,-1.5,24,12
Jake Lloyd,disposals,-1.5,25,16
Jason Johannisen,disposals,-1.5,10,6
Josh Sinn,disposals,-1.5,8,12
Joshua Draper,disposals,-1.5,7,4
Lachlan McAndrew,disposals,-1.5,12,7
Leonardo Lombard,disposals,-1.5,8,15
Lewis Melican,disposals,-1.5,16,10
Max Heath,disposals,-1.5,7,4
Mitchell Edwards,disposals,-1.5,10,5
Riley Hardeman,disposals,-1.5,4,16
Sam Flanders,disposals,-1.5,19,16
Tanner Bruhn,disposals,-1.5,9,8
Adam Treloar,disposals,-2,6,3
Bodhi Uwland,disposals,-2,23,21
Brandon Starcevich,disposals,-2,11,10
Charlie Ballard,disposals,-2,3,5
Charlie West,disposals,-2,4,1
Clayton Oliver,disposals,-2,14,27
Conor Stone,disposals,-2,7,8
Darcy Fort,disposals,-2,27,11
Harry Rowston,disposals,-2,12,6
Harvey Thomas,disposals,-2,19,17
Jack Graham,disposals,-2,3,24
Jack Ison,disposals,-2,7,1
Jack Ough,disposals,-2,2,2
James Trezise,disposals,-2,7,23
Jamie Cripps,disposals,-2,3,23
Jordon Butts,disposals,-2,13,6
Kyle Langford,disposals,-2,5,19
Lachlan Blakiston,disposals,-2,1,27
Lawson Humphries,disposals,-2,30,13
Leek Aleer,disposals,-2,12,8
Liam O'Connell,disposals,-2,8,8
Mac Andrew,disposals,-2,22,21
Mani Liddy,disposals,-2,4,5
Max Kondogiannis,disposals,-2,1,7
Michael Frederick,disposals,-2,29,9
Nick Holman,disposals,-2,11,11
Oliver Hollands,disposals,-2,12,22
Roan Steele,disposals,-2,10,9
Sam Davidson,disposals,-2,17,14
Stephen Coniglio,disposals,-2,15,12
Thomas Edwards,disposals,-2,2,7
Zac Williams,disposals,-2,10,18
Alex Pearce,disposals,-2.5,23,10
Angus Anderson,disposals,-2.5,6,5
Cooper Lord,disposals,-2.5,10,16
Elijah Hollands,disposals,-2.5,4,7
Harry Edwards,disposals,-2.5,2,17
Harry Schoenberg,disposals,-2.5,2,4
Matt Roberts,disposals,-2.5,20,13
Ollie Wines,disposals,-2.5,12,23
Rhylee West,disposals,-2.5,26,15
Riley Bice,disposals,-2.5,22,11
Wil Parker,disposals,-2.5,4,4
Adam Cerra,disposals,-3,15,20
Aidan Corr,disposals,-3,7,14
Angus Hastie,disposals,-3,7,7
Archer May,disposals,-3,1,16
Ben Miller,disposals,-3,7,33
Chayce Jones,disposals,-3,5,3
Christian Moraes,disposals,-3,8,15
Elijah Hewett,disposals,-3,1,25
Eric Hipwood,disposals,-3,21,6
Griffin Logue,disposals,-3,7,21
Harry Kyle,disposals,-3,5,1
Jack Hutchinson,disposals,-3,2,20
Jack Sinclair,disposals,-3,15,23
Jack Viney,disposals,-3,5,13
Joe Fonti,disposals,-3,19,16
Jordan Croft,disposals,-3,11,5
Lachlan Gulbin,disposals,-3,3,6
Ryan Maric,disposals,-3,3,30
Tom Cole,disposals,-3,3,28
William Edwards,disposals,-3,9,4
Zane Duursma,disposals,-3,9,15
Bailey Dale,disposals,-3.5,24,16
Brandon Zerk-Thatcher,disposals,-3.5,7,10
Connor Idun,disposals,-3.5,24,19
Darcy Wilmot,disposals,-3.5,32,13
Hugo Ralphsmith,disposals,-3.5,2,19
Jordon Sweet,disposals,-3.5,14,23
Liam Ryan,disposals,-3.5,8,26
Oliver Hayes-Brown,disposals,-3.5,2,5
Bailey Macdonald,disposals,-4,12,3
Ben Jepson,disposals,-4,1,4
Connor O'Sullivan,disposals,-4,29,15
Flynn Perez,disposals,-4,5,2
Jack Buckley,disposals,-4,18,10
James Tunstill,disposals,-4,10,4
Jed Bews,disposals,-4,3,1
Luke Kennedy,disposals,-4,2,2
Nicholas Madden,disposals,-4,4,4
Oleg Markov,disposals,-4,5,3
Orazio Fantasia,disposals,-4,2,4
Phoenix Gothard,disposals,-4,7,9
Tom McCarthy,disposals,-4,4,24
Miles Bergman,disposals,-4.5,12,19
Mitch Zadow,disposals,-4.5,3,2
Sam Day,disposals,-4.5,10,3
Aaron Francis,disposals,-5,5,5
Alex Sexton,disposals,-5,3,2
Jack Watkins,disposals,-5,3,7
Jayden Short,disposals,-5,7,26
Sam Grlj,disposals,-5,2,15
Sullivan Robey,disposals,-5,2,13
Taylor Adams,disposals,-5,1,3
Henry Hustwaite,disposals,-5.5,4,1
Will Phillips,disposals,-5.5,1,6
Jacob Blight,disposals,-6,1,6
Lachlan Murphy,disposals,-6,3,2
Matt Whitlock,disposals,-6,1,4
Samson Ryan,disposals,-6,1,4
Steven May,disposals,-6,4,12
Karl Amon,disposals,-6.5,26,13
Matthew Owies,disposals,-6.5,1,18
Campbell Lake,disposals,-7,3,3
Jeremy Sharp,disposals,-7,11,5
Xavier Bamert,disposals,-7,2,5
Ted Clohesy,disposals,-7.5,6,3
Will Lorenz,disposals,-14.5,1,6
Beau Addinsall,disposals,NA,0,6
Ben Paton,disposals,NA,0,4
Billy Cootee,disposals,NA,5,0
Brynn Teakle,disposals,NA,0,4
Christopher Scerri,disposals,NA,7,0
Clay Hall,disposals,NA,0,13
Dylan Patterson,disposals,NA,0,4
Jack Henderson,disposals,NA,0,5
Jai Murray,disposals,NA,0,8
Jayden Nguyen,disposals,NA,0,10
Jeremy McGovern,disposals,NA,0,6
Jordan Boyd,disposals,NA,0,5
Kaleb Smith,disposals,NA,0,8
Kye Annand,disposals,NA,0,7
Liam Fawcett,disposals,NA,0,8
Liam McMahon,disposals,NA,0,7
Liam Puncher,disposals,NA,4,0
Liam Reidy,disposals,NA,0,5
Louis Emmett,disposals,NA,0,5
Luamon Lual,disposals,NA,0,12
Marcus Herbert,disposals,NA,0,6
Nik Cox,disposals,NA,0,8
Noah Long,disposals,NA,0,10
Oliver Francou,disposals,NA,0,4
Oskar Smartt,disposals,NA,0,4
Sam Swadling,disposals,NA,5,0
Seamus Mitchell,disposals,NA,4,0
Tyrell Dewar,disposals,NA,0,16
Zak Johnson,disposals,NA,0,14
Lachlan Sholl,fantasy_points,44,3,2
Jacob Bauer,fantasy_points,43,1,4
Billy Wilson,fantasy_points,41,10,5
Jeremy Cameron,fantasy_points,41,28,14
Jordan De Goey,fantasy_points,35.5,16,12
Tim Taranto,fantasy_points,35,6,33
Peter Wright,fantasy_points,34,6,27
Toby Greene,fantasy_points,34,23,17
Zak Jones,fantasy_points,32.5,8,7
