player_name,stat,median_diff,games_home,games_away
Finn O'Sullivan,disposals,1,19,22
George Wardlaw,disposals,1,16,13
Harry Sharp,disposals,1,20,21
Harvey Langford,disposals,1,23,22
Hussien El Achkar,disposals,1,4,5
Isaac Cumming,disposals,1,21,19
Isaac Kako,disposals,1,19,19
Jack Darling,disposals,1,23,21
Jack Henry,disposals,1,20,20
Jack Martin,disposals,1,18,13
Jack Ough,disposals,1,3,2
Jack Steele,disposals,1,23,22
Jacob Wehr,disposals,1,15,16
Jacob Weitering,disposals,1,19,16
Jake Kolodjashnij,disposals,1,7,4
James Worpel,disposals,1,13,19
Jamie Cripps,disposals,1,13,13
Jedd Busslinger,disposals,1,8,7
Joel Amartey,disposals,1,12,11
Josaia Delana,disposals,1,5,7
Josh Battle,disposals,1,22,25
Josh Dolan,disposals,1,14,8
Josh Lai,disposals,1,10,9
Kieren Briggs,disposals,1,19,19
Kye Annand,disposals,1,6,5
Kyle Langford,disposals,1,16,12
Lachlan Bramble,disposals,1,23,23
Leek Aleer,disposals,1,9,11
Liam Fawcett,disposals,1,3,5
Logan McDonald,disposals,1,11,10
Luke McDonald,disposals,1,17,16
Mark Keane,disposals,1,18,16
Mason Wood,disposals,1,19,22
Maurice Rioli,disposals,1,10,13
Mitch Owens,disposals,1,21,18
Nathan O'Driscoll,disposals,1,17,13
Oliver Henry,disposals,1,18,19
Oliver Wiltshire,disposals,1,7,9
Patrick Dangerfield,disposals,1,21,19
Patrick Lipinski,disposals,1,24,18
Rhys Stanley,disposals,1,11,9
Rory Lobb,disposals,1,21,22
Ryan Lester,disposals,1,21,24
Sam Butler,disposals,1,6,8
Sam Clohesy,disposals,1,10,16
Sam De Koning,disposals,1,24,18
Thomson Dow,disposals,1,6,5
Tim English,disposals,1,19,19
Tobie Travaglia,disposals,1,8,11
Toby Murray,disposals,1,5,8
Trent Rivers,disposals,1,20,19
Tylar Young,disposals,1,15,15
Wil Powell,disposals,1,21,24
Xavier Lindsay,disposals,1,13,11
Zeke Uwland,disposals,1,7,10
Aaron Cadman,disposals,0.5,22,20
Aidan Corr,disposals,0.5,14,12
Alex Davies,disposals,0.5,8,6
Alex Neal-Bullen,disposals,0.5,26,20
Billy Cootee,disposals,0.5,4,5
Billy Frampton,disposals,0.5,21,18
Brandon Starcevich,disposals,0.5,10,15
Cameron Zurhaar,disposals,0.5,23,22
Charlie Comben,disposals,0.5,22,20
Dylan Moore,disposals,0.5,22,26
Edward Allan,disposals,0.5,15,16
Harris Andrews,disposals,0.5,22,25
Harry McKay,disposals,0.5,15,18
Harry Sheezel,disposals,0.5,24,21
Heath Chapman,disposals,0.5,23,22
Jai Newcombe,disposals,0.5,23,26
Jake Waterman,disposals,0.5,15,16
James Peatling,disposals,0.5,24,20
Jarrod Berry,disposals,0.5,18,24
Jeremy Cameron,disposals,0.5,24,19
Jesse Hogan,disposals,0.5,14,11
Karl Worner,disposals,0.5,22,24
Lewis Young,disposals,0.5,11,14
Liam Duggan,disposals,0.5,20,23
Liam Puncher,disposals,0.5,4,4
Luke Pedlar,disposals,0.5,11,8
Mani Liddy,disposals,0.5,6,3
Mark O'Connor,disposals,0.5,25,20
Mason Cox,disposals,0.5,12,14
Mason Redman,disposals,0.5,17,18
Massimo D'Ambrosio,disposals,0.5,23,26
Matthew Cottrell,disposals,0.5,10,8
Max Michalanney,disposals,0.5,24,20
Mitch McGovern,disposals,0.5,20,20
Mykelti Lefau,disposals,0.5,12,10
Noah Answerth,disposals,0.5,14,18
Steely Green,disposals,0.5,20,19
Taylor Adams,disposals,0.5,2,2
Thomas Sims,disposals,0.5,5,6
Tom McCartin,disposals,0.5,20,20
Wil Dawson,disposals,0.5,7,8
Zac Williams,disposals,0.5,16,12
Aaron Francis,disposals,0,4,6
Adam Saad,disposals,0,11,13
Archer May,disposals,0,8,9
Bailey Humphrey,disposals,0,20,23
Ben Miller,disposals,0,22,22
Brodie Grundy,disposals,0,20,23
Caleb Daniel,disposals,0,24,22
Callum Brown,disposals,0,20,20
Callum Wilkie,disposals,0,23,23
Colby McKercher,disposals,0,24,22
Connor Budarick,disposals,0,13,20
Conor Nash,disposals,0,15,17
Cooper Sharman,disposals,0,21,21
Corey Wagner,disposals,0,15,15
Dane Rampe,disposals,0,17,19
Darcy Cameron,disposals,0,25,22
Darcy Fogarty,disposals,0,20,18
Dylan Shiel,disposals,0,6,8
Ed Richards,disposals,0,22,23
Finn Callaghan,disposals,0,20,20
George Hewett,disposals,0,21,21
Griffin Logue,disposals,0,18,14
Harrison Jones,disposals,0,7,7
Harry Dean,disposals,0,11,9
Harry Edwards,disposals,0,9,10
Harry Rowston,disposals,0,11,11
Hayden Young,disposals,0,10,13
Hudson O'Keeffe,disposals,0,5,3
Hugo Hall-Kahan,disposals,0,5,6
Isaac Keeler,disposals,0,7,6
Jack Buckley,disposals,0,15,13
Jack Henderson,disposals,0,3,2
Jack Higgins,disposals,0,20,19
Jack Silvagni,disposals,0,17,19
Jack Whitlock,disposals,0,14,13
Jack Williams,disposals,0,13,12
Jacob Hopper,disposals,0,18,17
Jacob Konstanty,disposals,0,18,15
Jacob van Rooyen,disposals,0,18,20
Jade Gresham,disposals,0,13,13
Jagga Smith,disposals,0,11,12
Jake Soligo,disposals,0,24,21
James Jordon,disposals,0,22,23
James Rowbottom,disposals,0,22,22
Jase Burgoyne,disposals,0,22,21
Jaspa Fletcher,disposals,0,23,27
Jayden Short,disposals,0,19,18
Jed Bews,disposals,0,2,2
Jesse Motlop,disposals,0,12,11
Jimmy Webster,disposals,0,9,6
Joel Freijah,disposals,0,23,23
Joel Jeffrey,disposals,0,22,25
Jordan De Goey,disposals,0,18,14
Jordan Ridley,disposals,0,8,9
Jordon Butts,disposals,0,9,10
Josh Dunkley,disposals,0,23,27
Josh Ward,disposals,0,23,25
Jye Amiss,disposals,0,23,23
Jye Caldwell,disposals,0,16,12
Lachlan Blakiston,disposals,0,13,15
Lachlan McNeil,disposals,0,15,16
Lachlan Sullivan,disposals,0,8,8
Lachy Dovaston,disposals,0,2,4
Lance Collard,disposals,0,7,5
Levi Ashcroft,disposals,0,23,27
Liam Henry,disposals,0,5,9
Liam Ryan,disposals,0,19,18
Liam Stocker,disposals,0,17,18
Luke Davies-Uniacke,disposals,0,24,21
Marcus Windhager,disposals,0,23,23
Matthew Johnson,disposals,0,19,21
Mitchell Hinge,disposals,0,14,11
Ned Moyle,disposals,0,10,9
Oscar Allen,disposals,0,11,13
Paul Curtis,disposals,0,22,17
Peter Ladhams,disposals,0,6,6
Peter Wright,disposals,0,20,17
Reuben Ginbey,disposals,0,18,18
Rhyan Mansell,disposals,0,11,15
Rhylee West,disposals,0,23,22
Riley Hamilton,disposals,0,5,3
Saad El-Hawli,disposals,0,10,7
Sam Davidson,disposals,0,19,16
Tim Membrey,disposals,0,22,20
Toby Greene,disposals,0,23,20
Tom Gross,disposals,0,5,7
Travis Boak,disposals,0,6,10
Tristan Xerri,disposals,0,19,20
Tyson Stengle,disposals,0,13,11
Xavier Bamert,disposals,0,6,4
Bradley Hill,disposals,-0.5,23,22
Bruce Reville,disposals,-0.5,14,17
Clayton Oliver,disposals,-0.5,24,21
Conor McKenna,disposals,-0.5,12,10
Harrison Oliver,disposals,-0.5,3,2
Harry Himmelberg,disposals,-0.5,24,23
Harry Perryman,disposals,-0.5,23,18
Harvey Harrison,disposals,-0.5,6,5
Hunter Clark,disposals,-0.5,10,10
Jack Buller,disposals,-0.5,11,8
Jack Lukosius,disposals,-0.5,8,7
Jack Scrimshaw,disposals,-0.5,10,12
Jacob Farrow,disposals,-0.5,11,10
Jacob Newton,disposals,-0.5,2,3
Jayden Hunt,disposals,-0.5,7,8
Jed Walter,disposals,-0.5,14,20
Josh Lindsay,disposals,-0.5,7,8
Lachie Ash,disposals,-0.5,24,23
Lachlan Gulbin,disposals,-0.5,4,8
Leonardo Lombard,disposals,-0.5,13,14
Liam Baker,disposals,-0.5,22,21
Matt Roberts,disposals,-0.5,19,18
Nat Fyfe,disposals,-0.5,4,4
Oliver Hannaford,disposals,-0.5,3,2
Oliver Hayes-Brown,disposals,-0.5,3,4
Rhett Bazzo,disposals,-0.5,10,11
Riley Hardeman,disposals,-0.5,12,12
Ryan Angwin,disposals,-0.5,16,14
Sam Collins,disposals,-0.5,21,22
Sam Taylor,disposals,-0.5,16,16
Shai Bolton,disposals,-0.5,23,22
Shannon Neale,disposals,-0.5,26,22
Talor Byrne,disposals,-0.5,8,10
Taylor Walker,disposals,-0.5,24,15
Tom Brown,disposals,-0.5,22,19
Tom Cochrane,disposals,-0.5,2,4
Tom Green,disposals,-0.5,11,12
Tom McCarthy,disposals,-0.5,16,16
Will Lewis,disposals,-0.5,6,6
Will McLachlan,disposals,-0.5,3,4
Xavier O'Halloran,disposals,-0.5,19,18
Zac Bailey,disposals,-0.5,22,26
Zak Johnson,disposals,-0.5,8,8
Zane Duursma,disposals,-0.5,14,11
Adam Treloar,disposals,-1,7,2
Aliir Aliir,disposals,-1,23,21
Angus Clarke,disposals,-1,11,9
Angus Hastie,disposals,-1,10,6
Anthony Caminiti,disposals,-1,21,20
Bailey Banfield,disposals,-1,10,12
Bailey Williams,disposals,-1,20,20
Beau McCreery,disposals,-1,22,19
Ben Hobbs,disposals,-1,7,11
Ben Jepson,disposals,-1,2,4
Billy Dowling,disposals,-1,1,3
Brody Mihocek,disposals,-1,17,15
Cam Rayner,disposals,-1,23,27
Campbell Lake,disposals,-1,6,4
Chad Warner,disposals,-1,22,23
