match,market_name,player_name,player_team,under_line,opposition_team,over_price,over_agency,under_price,under_agency,over_line,margin
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Worrell,Adelaide Crows,19.5,Brisbane Lions,1.18,Neds,1.75,Sportsbet,14.5,-41.88861985472157
Brisbane Lions v Adelaide Crows,Player Disposals,Hugh McCluggage,Brisbane Lions,18.5,Adelaide Crows,1.11,Pointsbet,1.93,Sportsbet,13.5,-41.90356159268076
Brisbane Lions v Adelaide Crows,Player Disposals,Daniel Curtin,Adelaide Crows,16.5,Brisbane Lions,1.13,Pointsbet,1.87,Neds,12.5,-41.971511050115936
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.13,Pointsbet,1.87,Pointsbet,20.5,-41.971511050115936
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.13,Pointsbet,1.87,Neds,20.5,-41.971511050115936
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,28.5,Adelaide Crows,1.13,Sportsbet,1.87,Pointsbet,23.5,-41.971511050115936
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,1.15,Pointsbet,1.817,Betfair,22.5,-41.99229499174466
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,1.15,TAB,1.817,Betfair,24.5,-41.99229499174466
Brisbane Lions v Adelaide Crows,Player Disposals,Ben Keays,Adelaide Crows,12.5,Brisbane Lions,1.09,TAB,1.99,Sportsbet,9.5,-41.994375547462056
Brisbane Lions v Adelaide Crows,Player Disposals,Darcy Wilmot,Brisbane Lions,19.5,Adelaide Crows,1.21,Pointsbet,1.684,Betfair,15.5,-42.02705090202392
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,22.5,Adelaide Crows,1.11,Pointsbet,1.92,Neds,17.5,-42.17342342342341
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,22.5,Adelaide Crows,1.11,Sportsbet,1.92,Neds,18.5,-42.17342342342341
Brisbane Lions v Adelaide Crows,Player Disposals,Jaspa Fletcher,Brisbane Lions,17.5,Adelaide Crows,1.1,Sportsbet,1.95,Neds,12.5,-42.19114219114219
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.1,Sportsbet,1.95,Pointsbet,17.5,-42.19114219114219
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,21.5,Brisbane Lions,1.18,Pointsbet,1.74,Sportsbet,16.5,-42.21702707968049
Brisbane Lions v Adelaide Crows,Player Disposals,Daniel Curtin,Adelaide Crows,16.5,Brisbane Lions,1.13,Pointsbet,1.86,Sportsbet,12.5,-42.25901608145399
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.15,Pointsbet,1.8075,Betfair,17.5,-42.28155631727706
Brisbane Lions v Adelaide Crows,Player Goals,Logan Morris,Brisbane Lions,1.5,Adelaide Crows,1.06,Neds,2.083,Betfair,0.5,-42.347303870506046
Brisbane Lions v Adelaide Crows,Player Goals,Logan Morris,Brisbane Lions,1.5,Adelaide Crows,1.06,Sportsbet,2.083,Betfair,0.5,-42.347303870506046
Brisbane Lions v Adelaide Crows,Player Disposals,Izak Rankine,Adelaide Crows,28.5,Brisbane Lions,1.14,Pointsbet,1.83,Neds,22.5,-42.36410698878343
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.14,Sportsbet,1.83,Neds,18.5,-42.36410698878343
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,20.5,Brisbane Lions,1.08,Neds,2.0069999999999997,Betfair,15.5,-42.41820295631955
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,23.5,Adelaide Crows,1.11,Pointsbet,1.91,Sportsbet,17.5,-42.446111032498465
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,23.5,Adelaide Crows,1.11,Sportsbet,1.91,Sportsbet,18.5,-42.446111032498465
Brisbane Lions v Adelaide Crows,Player Disposals,Jarrod Berry,Brisbane Lions,18.5,Adelaide Crows,1.11,Pointsbet,1.91,Neds,13.5,-42.446111032498465
Brisbane Lions v Adelaide Crows,Player Disposals,Jarrod Berry,Brisbane Lions,18.5,Adelaide Crows,1.11,TAB,1.91,Neds,14.5,-42.446111032498465
Brisbane Lions v Adelaide Crows,Player Disposals,Jaspa Fletcher,Brisbane Lions,17.5,Adelaide Crows,1.11,Pointsbet,1.91,Sportsbet,13.5,-42.446111032498465
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.11,Sportsbet,1.91,Neds,16.5,-42.446111032498465
Brisbane Lions v Adelaide Crows,Player Disposals,Darcy Wilmot,Brisbane Lions,18.5,Adelaide Crows,1.1,Sportsbet,1.94,Neds,13.5,-42.45548266166823
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.15,Neds,1.8,Sportsbet,17.5,-42.512077294686
Brisbane Lions v Adelaide Crows,Player Disposals,Jake Soligo,Adelaide Crows,16.5,Brisbane Lions,1.13,Sportsbet,1.85,Neds,11.5,-42.54962927529298
Brisbane Lions v Adelaide Crows,Player Disposals,Luke Nankervis,Adelaide Crows,14.5,Brisbane Lions,1.13,Pointsbet,1.85,Sportsbet,10.5,-42.54962927529298
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,28.5,Adelaide Crows,1.13,Sportsbet,1.85,Neds,23.5,-42.54962927529298
Brisbane Lions v Adelaide Crows,Player Disposals,Jarrod Berry,Brisbane Lions,18.5,Adelaide Crows,1.08,Neds,2,Sportsbet,13.5,-42.59259259259258
Brisbane Lions v Adelaide Crows,Player Disposals,Jarrod Berry,Brisbane Lions,18.5,Adelaide Crows,1.08,Sportsbet,2,Sportsbet,13.5,-42.59259259259258
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.08,Pointsbet,2,Sportsbet,16.5,-42.59259259259258
Brisbane Lions v Adelaide Crows,Player Goals,Riley Thilthorpe,Adelaide Crows,1.5,Brisbane Lions,1.17,Neds,1.7505,Betfair,0.5,-42.59662074572101
Brisbane Lions v Adelaide Crows,Player Disposals,Harris Andrews,Brisbane Lions,13.5,Adelaide Crows,1.11,Neds,1.9,Neds,9.5,-42.72166903745851
Brisbane Lions v Adelaide Crows,Player Disposals,Harris Andrews,Brisbane Lions,13.5,Adelaide Crows,1.11,Sportsbet,1.9,Neds,9.5,-42.72166903745851
Brisbane Lions v Adelaide Crows,Player Disposals,Sam Berry,Adelaide Crows,19.5,Brisbane Lions,1.11,Neds,1.9,Neds,14.5,-42.72166903745851
Brisbane Lions v Adelaide Crows,Player Disposals,Sam Berry,Adelaide Crows,19.5,Brisbane Lions,1.11,Pointsbet,1.9,Neds,14.5,-42.72166903745851
Brisbane Lions v Adelaide Crows,Player Disposals,Sam Berry,Adelaide Crows,19.5,Brisbane Lions,1.11,Sportsbet,1.9,Neds,14.5,-42.72166903745851
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,23.5,Adelaide Crows,1.12,TAB,1.87,Pointsbet,19.5,-42.761650114591276
