match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Adam Cerra,Carlton,3.5,1.1,Pointsbet,Melbourne Demons,2860314,114104349,137
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Adam Cerra,Carlton,5.5,1.53,Pointsbet,Melbourne Demons,2860314,114104349,138
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Adam Cerra,Carlton,7.5,2.6,Pointsbet,Melbourne Demons,2860314,114104349,139
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Adam Cerra,Carlton,9.5,5.5,Pointsbet,Melbourne Demons,2860314,114104349,140
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Sam Walsh,Carlton,1.5,1.03,Pointsbet,Melbourne Demons,2860314,114104349,141
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Sam Walsh,Carlton,3.5,1.36,Pointsbet,Melbourne Demons,2860314,114104349,142
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Sam Walsh,Carlton,5.5,2.35,Pointsbet,Melbourne Demons,2860314,114104349,143
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Sam Walsh,Carlton,7.5,5.25,Pointsbet,Melbourne Demons,2860314,114104349,144
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Sam Walsh,Carlton,9.5,14,Pointsbet,Melbourne Demons,2860314,114104349,145
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Matthew Cottrell,Carlton,1.5,1.03,Pointsbet,Melbourne Demons,2860314,114104349,146
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Matthew Cottrell,Carlton,3.5,1.33,Pointsbet,Melbourne Demons,2860314,114104349,147
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Matthew Cottrell,Carlton,5.5,2.45,Pointsbet,Melbourne Demons,2860314,114104349,148
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Matthew Cottrell,Carlton,7.5,5.75,Pointsbet,Melbourne Demons,2860314,114104349,149
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Brodie Kemp,Carlton,3.5,1.13,Pointsbet,Melbourne Demons,2860314,114104349,152
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Brodie Kemp,Carlton,5.5,1.77,Pointsbet,Melbourne Demons,2860314,114104349,153
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Brodie Kemp,Carlton,7.5,3.6,Pointsbet,Melbourne Demons,2860314,114104349,154
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Brodie Kemp,Carlton,9.5,9.5,Pointsbet,Melbourne Demons,2860314,114104349,155
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Francis Evans,Carlton,1.5,1.09,Pointsbet,Melbourne Demons,2860314,114104349,156
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Francis Evans,Carlton,3.5,1.77,Pointsbet,Melbourne Demons,2860314,114104349,157
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Francis Evans,Carlton,5.5,4.1,Pointsbet,Melbourne Demons,2860314,114104349,158
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Francis Evans,Carlton,7.5,12,Pointsbet,Melbourne Demons,2860314,114104349,159
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Lachlan Cowan,Carlton,3.5,1.09,Pointsbet,Melbourne Demons,2860314,114104349,162
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Lachlan Cowan,Carlton,5.5,1.44,Pointsbet,Melbourne Demons,2860314,114104349,163
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Lachlan Cowan,Carlton,7.5,2.5,Pointsbet,Melbourne Demons,2860314,114104349,164
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Lachlan Cowan,Carlton,9.5,5.25,Pointsbet,Melbourne Demons,2860314,114104349,165
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Billy Wilson,Carlton,3.5,1.09,Pointsbet,Melbourne Demons,2860314,114104349,172
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Billy Wilson,Carlton,5.5,1.44,Pointsbet,Melbourne Demons,2860314,114104349,173
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Billy Wilson,Carlton,7.5,2.45,Pointsbet,Melbourne Demons,2860314,114104349,174
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Billy Wilson,Carlton,9.5,5,Pointsbet,Melbourne Demons,2860314,114104349,175
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jagga Smith,Carlton,1.5,1.18,Pointsbet,Melbourne Demons,2860314,114104349,176
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jagga Smith,Carlton,3.5,2.25,Pointsbet,Melbourne Demons,2860314,114104349,177
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jagga Smith,Carlton,5.5,5.5,Pointsbet,Melbourne Demons,2860314,114104349,178
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jagga Smith,Carlton,7.5,14,Pointsbet,Melbourne Demons,2860314,114104349,179
