match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jayden Laverde,GWS Giants,Essendon Bombers,9.5,3.1,NA,25851,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jordan Ridley,Essendon Bombers,GWS Giants,9.5,3.25,NA,25857,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Harry Himmelberg,GWS Giants,Essendon Bombers,9.5,3.25,NA,25885,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Sam Taylor,GWS Giants,Essendon Bombers,9.5,4,NA,25853,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Max Gruzewski,GWS Giants,Essendon Bombers,9.5,4.5,NA,25909,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jacob Farrow,Essendon Bombers,GWS Giants,9.5,5.5,NA,25855,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Reid,Essendon Bombers,GWS Giants,9.5,6.5,NA,25862,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Aaron Cadman,GWS Giants,Essendon Bombers,9.5,6.5,NA,25878,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Mason Redman,Essendon Bombers,GWS Giants,9.5,6.5,NA,25858,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Archie Roberts,Essendon Bombers,GWS Giants,9.5,8,NA,25900,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Prior,Essendon Bombers,GWS Giants,9.5,9,NA,25856,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Kyle Langford,Essendon Bombers,GWS Giants,9.5,9,NA,25907,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Toby Greene,GWS Giants,Essendon Bombers,9.5,9.5,NA,25898,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Xavier Duursma,Essendon Bombers,GWS Giants,9.5,10,NA,25860,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Angus Clarke,Essendon Bombers,GWS Giants,9.5,11,NA,25899,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Merrett,Essendon Bombers,GWS Giants,9.5,12,NA,25861,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Artemis,Essendon Bombers,GWS Giants,9.5,12,NA,25910,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Harry Rowston,GWS Giants,Essendon Bombers,9.5,15,NA,25886,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Nate Caddy,Essendon Bombers,GWS Giants,9.5,16,NA,25859,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Peter Wright,Essendon Bombers,GWS Giants,9.5,17,NA,25873,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jake Stringer,GWS Giants,Essendon Bombers,9.5,17,NA,25889,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Dyson Sharp,Essendon Bombers,GWS Giants,9.5,19,NA,25868,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Andrew McGrath,Essendon Bombers,GWS Giants,9.5,19,NA,25863,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Callum M. Brown,NA,NA,9.5,21,NA,25879,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Sam Durham,Essendon Bombers,GWS Giants,9.5,28,NA,25875,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Conor Stone,GWS Giants,Essendon Bombers,9.5,28,NA,25882,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Finn Callaghan,GWS Giants,Essendon Bombers,9.5,31,NA,25883,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Ryan Angwin,GWS Giants,Essendon Bombers,9.5,34,NA,25896,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jye Caldwell,Essendon Bombers,GWS Giants,9.5,41,NA,25870,NA,TAB
