match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Dylan Stephens,North Melbourne Kangaroos,79.5,1.85,BetRight,Sydney Swans,Fantasy Points - Dylan Stephens,47667705,80+ Fantasy Points,1,267813930
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Dylan Stephens,North Melbourne Kangaroos,89.5,2.85,BetRight,Sydney Swans,Fantasy Points - Dylan Stephens,47667705,90+ Fantasy Points,2,267813931
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Dylan Stephens,North Melbourne Kangaroos,99.5,4.5,BetRight,Sydney Swans,Fantasy Points - Dylan Stephens,47667705,100+ Fantasy Points,3,267813932
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Dylan Stephens,North Melbourne Kangaroos,109.5,8,BetRight,Sydney Swans,Fantasy Points - Dylan Stephens,47667705,110+ Fantasy Points,4,267813933
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Dylan Stephens,North Melbourne Kangaroos,119.5,15,BetRight,Sydney Swans,Fantasy Points - Dylan Stephens,47667705,120+ Fantasy Points,5,267813934
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Errol Gulden,Sydney Swans,79.5,1.05,BetRight,North Melbourne Kangaroos,Fantasy Points - Errol Gulden,47667706,80+ Fantasy Points,1,267813935
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Errol Gulden,Sydney Swans,89.5,1.15,BetRight,North Melbourne Kangaroos,Fantasy Points - Errol Gulden,47667706,90+ Fantasy Points,2,267813936
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Errol Gulden,Sydney Swans,99.5,1.4,BetRight,North Melbourne Kangaroos,Fantasy Points - Errol Gulden,47667706,100+ Fantasy Points,3,267813937
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Errol Gulden,Sydney Swans,109.5,1.8,BetRight,North Melbourne Kangaroos,Fantasy Points - Errol Gulden,47667706,110+ Fantasy Points,4,267813938
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Errol Gulden,Sydney Swans,119.5,2.2,BetRight,North Melbourne Kangaroos,Fantasy Points - Errol Gulden,47667706,120+ Fantasy Points,5,267813939
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Isaac Heeney,Sydney Swans,79.5,1.2,BetRight,North Melbourne Kangaroos,Fantasy Points - Isaac Heeney,47667707,80+ Fantasy Points,1,267813940
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Isaac Heeney,Sydney Swans,89.5,1.4,BetRight,North Melbourne Kangaroos,Fantasy Points - Isaac Heeney,47667707,90+ Fantasy Points,2,267813941
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Isaac Heeney,Sydney Swans,99.5,1.8,BetRight,North Melbourne Kangaroos,Fantasy Points - Isaac Heeney,47667707,100+ Fantasy Points,3,267813942
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Isaac Heeney,Sydney Swans,109.5,2.35,BetRight,North Melbourne Kangaroos,Fantasy Points - Isaac Heeney,47667707,110+ Fantasy Points,4,267813943
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Isaac Heeney,Sydney Swans,119.5,4,BetRight,North Melbourne Kangaroos,Fantasy Points - Isaac Heeney,47667707,120+ Fantasy Points,5,267813944
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Brodie Grundy,Sydney Swans,79.5,1.01,BetRight,North Melbourne Kangaroos,Fantasy Points - Brodie Grundy,47667708,80+ Fantasy Points,1,267813945
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Brodie Grundy,Sydney Swans,89.5,1.05,BetRight,North Melbourne Kangaroos,Fantasy Points - Brodie Grundy,47667708,90+ Fantasy Points,2,267813946
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Brodie Grundy,Sydney Swans,99.5,1.15,BetRight,North Melbourne Kangaroos,Fantasy Points - Brodie Grundy,47667708,100+ Fantasy Points,3,267813947
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Brodie Grundy,Sydney Swans,109.5,1.3,BetRight,North Melbourne Kangaroos,Fantasy Points - Brodie Grundy,47667708,110+ Fantasy Points,4,267813948
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Brodie Grundy,Sydney Swans,119.5,1.6,BetRight,North Melbourne Kangaroos,Fantasy Points - Brodie Grundy,47667708,120+ Fantasy Points,5,267813949
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Chad Warner,Sydney Swans,79.5,1.2,BetRight,North Melbourne Kangaroos,Fantasy Points - Chad Warner,47667709,80+ Fantasy Points,1,267813950
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Chad Warner,Sydney Swans,89.5,1.4,BetRight,North Melbourne Kangaroos,Fantasy Points - Chad Warner,47667709,90+ Fantasy Points,2,267813951
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Chad Warner,Sydney Swans,99.5,1.8,BetRight,North Melbourne Kangaroos,Fantasy Points - Chad Warner,47667709,100+ Fantasy Points,3,267813952
