match,market_name,home_team,away_team,line,over_price,under_price,agency,margin
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,218.5,15,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,219.5,16,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,220.5,17,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,221.5,18,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,222.5,19,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,223.5,21,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,224.5,21,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,225.5,23,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,226.5,26,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,227.5,26,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,228.5,31,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,229.5,34,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,230.5,34,NA,Sportsbet,NA
