player_full_name,position,position_source
Clay Hall,MIDFIELDER,fitzroy_player_details
Clayton Oliver,MIDFIELDER,fitzroy_player_details
Cody Anderson,MEDIUM_FORWARD,fitzroy_player_details
Cody Angove,MIDFIELDER,fitzroy_player_details
Cody Curtin,KEY_FORWARD,fitzroy_player_details
Cody Weightman,MEDIUM_FORWARD,fitzroy_player_details
Colby McKercher,MEDIUM_FORWARD,fitzroy_player_details
Connor Budarick,MEDIUM_DEFENDER,fitzroy_player_details
Connor Idun,MEDIUM_DEFENDER,fitzroy_player_details
Connor Macdonald,MEDIUM_FORWARD,fitzroy_player_details
Connor O'Sullivan,KEY_DEFENDER,fitzroy_player_details
Connor Rozee,MIDFIELDER,fitzroy_player_details
Conor McKenna,MEDIUM_FORWARD,fitzroy_player_details
Conor Nash,MIDFIELDER,fitzroy_player_details
Conor Stone,MIDFIELDER,fitzroy_player_details
Cooper Bell,KEY_FORWARD,fitzroy_player_details
Cooper Duff-Tytler,KEY_FORWARD,fitzroy_player_details
Cooper Harvey,MEDIUM_DEFENDER,fitzroy_player_details
Cooper Hynes,MIDFIELDER_FORWARD,fitzroy_player_details
Cooper Lord,MIDFIELDER,fitzroy_player_details
Cooper Sharman,KEY_FORWARD,fitzroy_player_details
Cooper Simpson,MEDIUM_DEFENDER,fitzroy_player_details
Cooper Trembath,KEY_FORWARD,fitzroy_player_details
Corey Durdin,MEDIUM_FORWARD,fitzroy_player_details
Corey Wagner,MIDFIELDER,fitzroy_player_details
Corey Warner,MEDIUM_FORWARD,fitzroy_player_details
Dan Butler,MEDIUM_FORWARD,fitzroy_player_details
Dan Houston,MEDIUM_DEFENDER,fitzroy_player_details
Dane Rampe,KEY_DEFENDER,fitzroy_player_details
Daniel Annable,MIDFIELDER,fitzroy_player_details
Daniel Curtin,MIDFIELDER,fitzroy_player_details
Daniel McStay,KEY_FORWARD,fitzroy_player_details
Daniel Rioli,MEDIUM_DEFENDER,fitzroy_player_details
Daniel Turner,KEY_DEFENDER,fitzroy_player_details
Dante Visentini,RUCK,fitzroy_player_details
Darcy Byrne-Jones,MEDIUM_DEFENDER,fitzroy_player_details
Darcy Cameron,RUCK,fitzroy_player_details
Darcy Fogarty,KEY_FORWARD,fitzroy_player_details
Darcy Fort,RUCK,fitzroy_player_details
Darcy Gardiner,KEY_DEFENDER,fitzroy_player_details
Darcy Jones,MEDIUM_FORWARD,fitzroy_player_details
Darcy Moore,KEY_DEFENDER,fitzroy_player_details
Darcy Parish,MIDFIELDER,fitzroy_player_details
Darcy Wilmot,MEDIUM_DEFENDER,fitzroy_player_details
Darcy Wilson,MIDFIELDER_FORWARD,fitzroy_player_details
Darragh Joyce,KEY_DEFENDER,fitzroy_player_details
Dayne Zorko,MEDIUM_DEFENDER,fitzroy_player_details
Deven Robertson,MIDFIELDER,fitzroy_player_details
Dion Prestia,MIDFIELDER,fitzroy_player_details
Dougal Howard,KEY_DEFENDER,fitzroy_player_details
Dylan Moore,MEDIUM_FORWARD,fitzroy_player_details
Dylan Patterson,MEDIUM_FORWARD,fitzroy_player_details
Dylan Stephens,MIDFIELDER,fitzroy_player_details
Dyson Sharp,MIDFIELDER_FORWARD,fitzroy_player_details
Eamonn Armstrong,MEDIUM_DEFENDER,fitzroy_player_details
Ed Langdon,MIDFIELDER,fitzroy_player_details
Ed Richards,MIDFIELDER,fitzroy_player_details
Edward Allan,MIDFIELDER,fitzroy_player_details
Elijah Hewett,MIDFIELDER_FORWARD,fitzroy_player_details
Elijah Hollands,MIDFIELDER_FORWARD,fitzroy_player_details
Elijah Tsatas,MIDFIELDER,fitzroy_player_details
Elliot Yeo,MIDFIELDER_FORWARD,fitzroy_player_details
Elliott Himmelberg,KEY_FORWARD,fitzroy_player_details
Eric Hipwood,KEY_FORWARD,fitzroy_player_details
Errol Gulden,MIDFIELDER_FORWARD,fitzroy_player_details
Esava Ratugolea,KEY_DEFENDER,fitzroy_player_details
Ethan Read,KEY_FORWARD,fitzroy_player_details
Ewan Mackinlay,MIDFIELDER,fitzroy_player_details
Finlay Macrae,MIDFIELDER,fitzroy_player_details
Finn Callaghan,MIDFIELDER,fitzroy_player_details
Finn Maginness,MIDFIELDER_FORWARD,fitzroy_player_details
Finn O'Sullivan,MIDFIELDER,fitzroy_player_details
Finnbar Maley,KEY_FORWARD,fitzroy_player_details
Finnegan Davis,MEDIUM_DEFENDER,fitzroy_player_details
Flynn Perez,MEDIUM_DEFENDER,fitzroy_player_details
Flynn Riley,RUCK,fitzroy_player_details
Flynn Young,MEDIUM_FORWARD,fitzroy_player_details
Francis Evans,MEDIUM_FORWARD,fitzroy_player_details
Fred Rodriguez,MIDFIELDER,fitzroy_player_details
George Hewett,MIDFIELDER,fitzroy_player_details
George Stevens,MIDFIELDER,fitzroy_player_details
George Wardlaw,MIDFIELDER,fitzroy_player_details
Griffin Logue,KEY_DEFENDER,fitzroy_player_details
Gryan Miers,MEDIUM_FORWARD,fitzroy_player_details
Hamish Davis,MIDFIELDER,fitzroy_player_details
