player_full_name,position
Steele Sidebottom,MIDFIELDER
Jeremy Howe,MEDIUM_DEFENDER
Will Hoskin-Elliott,MEDIUM_FORWARD
Brody Mihocek,KEY_FORWARD
Tom Mitchell,MIDFIELDER
Jamie Elliott,MEDIUM_FORWARD
Jack Crisp,MIDFIELDER
Tim Membrey,KEY_FORWARD
Daniel McStay,KEY_FORWARD
Darcy Moore,KEY_DEFENDER
Oleg Markov,MEDIUM_DEFENDER
Darcy Cameron,RUCK
Billy Frampton,KEY_DEFENDER
Brayden Maynard,MEDIUM_DEFENDER
Jordan De Goey,MEDIUM_FORWARD
Dan Houston,MEDIUM_DEFENDER
Ash Johnson,KEY_FORWARD
Harry Perryman,MEDIUM_DEFENDER
Lachlan Sullivan,MEDIUM_FORWARD
Mason Cox,KEY_FORWARD
John Noble,MEDIUM_DEFENDER
Daniel Rioli,MEDIUM_DEFENDER
Elliott Himmelberg,KEY_FORWARD
Malcolm Rosas,MEDIUM_FORWARD
Joel Jeffrey,MEDIUM_DEFENDER
Caleb Graham,KEY_DEFENDER
Thomas Berry,MEDIUM_FORWARD
Ben King,KEY_FORWARD
Wil Powell,MEDIUM_DEFENDER
Connor Budarick,MIDFIELDER
Charlie Ballard,KEY_DEFENDER
Noah Anderson,MIDFIELDER
Matt Rowell,MIDFIELDER
Sam Flanders,MEDIUM_FORWARD
Ben Jepson,MIDFIELDER
Sam Clohesy,MIDFIELDER
Alex Davies,MIDFIELDER
Mac Andrew,KEY_DEFENDER
Bodhi Uwland,MEDIUM_DEFENDER
Jake Rogers,MEDIUM_FORWARD
Ned Moyle,RUCK
Bailey Humphrey,MIDFIELDER_FORWARD
Jed Walter,KEY_FORWARD
Lloyd Johnston,MEDIUM_DEFENDER
Will Graham,MEDIUM_FORWARD
Ethan Read,KEY_FORWARD
Max Knobel,RUCK
Asher Eastham,MEDIUM_DEFENDER
Cooper Bell,KEY_DEFENDER
Leonardo Lombard,MIDFIELDER_FORWARD
Lachlan Gulbin,MEDIUM_FORWARD
Zak Evans,MEDIUM_DEFENDER
David Swallow,MEDIUM_FORWARD
Jarrod Witts,RUCK
Sean Lemmens,MEDIUM_DEFENDER
Alex Sexton,MEDIUM_FORWARD
Sam Collins,KEY_DEFENDER
Nick Holman,MIDFIELDER_FORWARD
Touk Miller,MIDFIELDER
Lachie Weller,MIDFIELDER
Brayden Fiorini,MIDFIELDER
Ben Long,MEDIUM_FORWARD
Ben Ainsworth,MEDIUM_FORWARD
Jy Farrar,MEDIUM_DEFENDER
Harry McKay,KEY_FORWARD
Jack Silvagni,KEY_DEFENDER
